�E�f�E�[�E�^�E�R�E�[�E�h,MD12'DLTYK215_DLTYDB1TL14,MD12'DLTYK215_DLTYDB2AM14,MD12'DLTYK215_DLTYDB2IT14,MD12'DLTYK215_DLTYDB2MG14,MD12'DLTYK215_DLTYDB2AT14,MD12'DLTYK215_DLTYDB2YG14,MD12'DLTYK215_DLTYDB2FS14,MD12'DLTYK215_DLTYDB3IR14,MD12'DLTYK215_DLTYDB3TG14,MD12'DLTYK215_DLTYDB3GM14,MD12'DLTYK215_DLTYDB3ST14,MD12'DLTYK215_DLTYDB3CB14,MD12'DLTYK215_DLTYDB3TK14,MD12'DLTYK215_DLTYDB3KG14,MD12'DLTYK215_DLTYDB4NG14,MD12'DLTYK215_DLTYDB4TM14,MD12'DLTYK215_DLTYDB4IK14,MD12'DLTYK215_DLTYDB4FI14,MD12'DLTYK215_DLTYDB5YN14,MD12'DLTYK215_DLTYDB5NN14,MD12'DLTYK215_DLTYDB5GF14,MD12'DLTYK215_DLTYDB5SO14,MD12'DLTYK215_DLTYDB5AC14,MD12'DLTYK215_DLTYDB5ME14,MD12'DLTYK215_DLTYDB6SG14,MD12'DLTYK215_DLTYDB6KT14,MD12'DLTYK215_DLTYDB6OS14,MD12'DLTYK215_DLTYDB6HG14,MD12'DLTYK215_DLTYDB6NR14,MD12'DLTYK215_DLTYDB6WY14,MD12'DLTYK215_DLTYDB7TT14,MD12'DLTYK215_DLTYDB7SN14,MD12'DLTYK215_DLTYDB7OY14,MD12'DLTYK215_DLTYDB7HS14,MD12'DLTYK215_DLTYDB7YM14,MD12'DLTYK215_DLTYDB8TS14,MD12'DLTYK215_DLTYDB8KW14,MD12'DLTYK215_DLTYDB8EM14,MD12'DLTYK215_DLTYDB8KC14,MD12'DLTYK215_DLTYDB9FO14,MD12'DLTYK215_DLTYDB9SA14,MD12'DLTYK215_DLTYDB9NS14,MD12'DLTYK215_DLTYDB9KM14,MD12'DLTYK215_DLTYDB9OT14,MD12'DLTYK215_DLTYDB9MZ14,MD12'DLTYK215_DLTYDB9KS14,MD12'DLTYK215_DLTYDB9ON14,,2024
2015,1136129,286128,273017,717238,237912,273367,376909,665240,541523,458306,1791292,1573551,22733907,2204762,534500,368826,324682,200904,131460,394064,469973,1156318,2047700,396887,363606,649527,4493165,1195524,295405,187505,149174,132843,505193,1017714,362700,215547,305910,649697,178783,2010811,148082,308304,413984,274820,264558,384648,372899,,2111237
2014,1119978,276987,267192,681271,232726,266788,364148,661246,518104,435288,1738685,1519554,21739595,2171399,522649,357360,320852,200636,131384,384033,451592,1126022,2006511,393330,350953,644559,4491322,1176426,279266,183423,144216,127401,481636,977335,344173,213476,299474,631656,175590,1918771,141626,299132,396885,263606,244821,364072,352362,,2000056
2013,1104273,267580,259215,646951,222083,259059,356507,635404,501199,423004,1697063,1487424,21082403,2161519,513962,345769,312060,198611,133667,380103,448509,1087841,1964686,388475,339505,658205,4403630,1159396,277579,179783,138792,123484,463392,945284,324892,209596,287608,618355,172542,1844748,136607,285822,383080,255880,225868,342486,333836,,32002632
2012,1107186,264007,245267,615113,217846,252621,353339,618392,484518,412843,1667747,1455435,20316139,2142729,509196,332251,305807,199595,135068,374449,448515,1049613,1921663,387993,330288,669291,4378061,1145674,277211,177140,135156,120301,458920,925262,314958,211276,284331,601157,171563,1779515,134140,278205,371961,252113,214151,331123,322607,,2609494
2011,1099996,263057,232603,588859,214941,247413,343337,608892,474845,414228,1645978,1428722,20040230,2111600,506985,326426,302082,199492,135731,377043,444972,1033625,1912191,392013,327351,671347,4363213,1147487,280965,177573,136052,117557,467750,902665,320055,213990,282073,587504,172969,1702334,134264,275088,364255,251355,207128,324558,317249,,603475
2010,1097961,262560,227521,589530,209286,243774,341905,611863,471471,430067,1635201,1410402,20127443,2116054,509807,323064,300738,202095,135837,382911,444678,1022419,1905892,393903,331687,686009,4471574,1160133,282753,177067,137040,115954,471368,897210,319846,217412,282787,574148,176600,1658847,134526,273754,354663,251602,199337,320454,315290,,407827
2009,1089887,261575,228118,590022,211166,238234,347286,614365,471998,438216,1638102,1397508,20705285,2147949,512801,326611,304506,213835,134874,393275,445882,1031040,1917319,401444,334449,705762,4558722,1172574,290546,179393,136146,115886,479447,902806,317193,224112,293485,561678,180547,1661256,134043,280581,351977,250190,195723,318295,311339,,398606
2008,1065343,263532,221124,584092,210775,225913,343914,602482,464587,436680,1652482,1395065,19492585,2188616,498895,325935,306725,214196,133405,401281,440826,989815,1911859,402470,329733,702864,4655675,1190893,300014,181595,135656,115414,474381,885406,306534,225356,294702,551477,182122,1616225,133390,287849,344782,249286,193029,311726,300864,,263528
2007,1052000,260809,216084,568648,212615,228274,346008,589064,458540,435432,1631621,1382122,18568866,2191144,490212,322602,304744,208465,130858,413054,438739,961731,1930011,402154,319415,697408,4713406,1201321,307454,181363,137713,115896,474275,866903,297099,227857,299189,528209,183840,1580699,133885,295030,331315,250058,185762,300813,289263,,177580
2006,1053668,266307,218483,558586,212574,235976,349967,578664,455819,428687,1586146,1362552,18306991,2178125,483451,318921,304329,206306,131110,416800,435321,927794,1940193,398548,309129,700838,4785564,1213833,314800,183657,140446,119520,468853,825821,287714,231317,294319,503136,185049,1572773,132369,304841,326701,249712,175343,290380,280441,,455820
2005,1015552,272334,215524,548063,209009,232045,346915,573920,456722,424311,1521818,1333798,17661768,2156702,482703,320567,305068,195835,128390,421242,424797,895164,1929635,392203,295492,698199,4876701,1224702,316552,188692,140011,119476,464361,811640,283959,231345,283586,478643,184873,1568677,134297,322013,322114,249728,171521,279072,284334,,430947
2004,1008856,280631,213899,540694,214119,230801,342944,566722,480997,430394,1448224,1319851,18403892,2142035,482130,332223,310302,192849,129495,424745,420479,870247,1918287,387358,291633,707393,5022428,1225611,311570,190533,141526,116993,460803,818790,284552,234707,287787,467247,185333,1584910,134768,333721,321020,248042,171442,272637,285272,,1197401
2003,1013638,296521,213910,546556,220402,233769,348877,564489,500578,438302,1387433,1321259,19465883,2136058,482497,329452,314400,193245,139211,428650,426268,862180,1971824,390332,284586,722549,5320821,1253222,307204,193673,142880,116044,461744,825155,286224,236412,293689,458482,186587,1632867,137399,343269,326488,246445,169937,274899,277334,,3178832
2002,1015206,299800,219028,556182,222546,243689,362066,571626,503562,442068,1425644,1336960,20777827,2180440,484931,333431,326253,196340,145337,441039,447437,893661,2114770,399317,281064,749997,5737009,1295336,304731,204809,138780,114082,470434,859852,290929,242151,304278,456167,190121,1696460,138954,350133,333725,246728,169854,277037,268788,,493753
2001,1069977,307062,220348,585025,221545,249327,387767,591644,518246,449251,1498488,1377580,21664283,2263447,512635,336241,333510,194761,147275,453771,468454,911889,2242778,408530,284187,779820,6104797,1352287,314846,217009,139773,116275,467930,904359,296768,247005,329999,448994,189221,1792681,142046,357324,348307,247169,173198,281575,266212,,471448
2000,1098665,303143,221934,612372,224404,240621,380686,606653,525172,461594,1512599,1408929,22273393,2313116,544896,343293,342932,194518,150805,455585,473141,895620,2270981,416021,288790,809967,6390356,1394805,321168,223684,140131,120331,472177,944957,307256,252124,343925,444751,188121,1834477,145586,366421,354256,248456,176863,286486,260209,,911358
1999,1132314,295311,226357,628562,231709,240380,386611,627315,536873,477273,1509212,1444404,23137324,2346068,580178,343736,353249,195222,157706,468088,477398,885958,2290683,427508,292710,838810,6543819,1450526,328783,228464,140927,123125,475230,974750,312400,250589,353637,441459,187080,1884488,149577,371883,357642,250346,179324,286569,254862,,5580884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263877
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30071819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5412099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423567
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460901
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680821
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28688514
